code,name,asset_class,sector,theme,subtheme,underlying_index,listing_date,benchmark_code,correlation_cluster,strategic_role_hint,incumbent,challenger,tradable,selection_universe,production_enabled,research_only,core_eligible,liquidity_tier,gen1_category,gen1_category_coverage,gen1_domain_status,notes,data_start_date
513310,中韩半导体ETF,equity,technology,semiconductor,storage_qdii,,2022-12-22,510300,tech_hardware,incumbent,1,0,1,1,1,0,1,high,storage,partial,PARTIAL_COVERAGE,Main5；QDII；Gen-1 部分校准子模型未覆盖,2022-12-22
159582,半导体设备ETF,equity,technology,semiconductor,semi_equip,,2024-04-16,510300,tech_hardware,incumbent,1,0,1,1,1,0,1,high,semi_equip,partial,PARTIAL_COVERAGE,Main5；短历史标的,2024-04-16
515880,通信ETF,equity,technology,ai_network,communication,,2019-09-06,510300,tech_hardware,incumbent,1,0,1,1,1,0,1,high,ai_network,partial,PARTIAL_COVERAGE,Main5；AI 互联/通信,2019-09-06
159570,港股通创新药ETF,equity,healthcare,biotech,hk_biotech,,2024-01-22,510300,healthcare,incumbent,1,0,1,1,1,0,1,high,biotech,covered,IN_DOMAIN,Main5；港股创新药,2024-01-22
518880,黄金ETF,commodity,commodity,gold,gold_spot,,2013-07-29,510300,gold_commodity,hedge,1,0,1,1,1,0,1,high,gold,missing,OUT_OF_DOMAIN,Main5；Gen-1 校准域外；防御资产,2023-05-09
588000,科创50ETF,equity,broad,growth_broad,kc50,,2020-11-16,510300,growth_broad,challenger,0,1,1,1,0,0,1,high,growth_broad,unknown,OUT_OF_DOMAIN,训练池扩展资产,2020-11-16
588080,科创板50ETF,equity,broad,growth_broad,kc50,,2020-11-16,510300,growth_broad,challenger,0,1,1,1,0,0,1,high,growth_broad,unknown,OUT_OF_DOMAIN,训练池扩展资产,2020-11-16
512480,半导体ETF,equity,technology,semiconductor,semi,,2019-06-12,510300,tech_hardware,challenger,0,1,1,1,0,0,1,high,semi,unknown,OUT_OF_DOMAIN,半导体同类挑战者,2019-06-12
159995,芯片ETF,equity,technology,semiconductor,chip,,2020-02-10,510300,tech_hardware,challenger,0,1,1,1,0,0,1,high,semi,unknown,OUT_OF_DOMAIN,芯片同类挑战者,2020-02-10
512760,芯片产业ETF,equity,technology,semiconductor,chip_industry,,2019-06-12,510300,tech_hardware,challenger,0,1,1,1,0,0,1,high,semi,unknown,OUT_OF_DOMAIN,芯片同类挑战者,2019-06-12
515050,5G通信ETF,equity,technology,communication,5g,,2019-10-16,510300,tech_hardware,challenger,0,1,1,1,0,0,1,high,comms,unknown,OUT_OF_DOMAIN,通信同类挑战者,2019-10-16
159819,人工智能ETF,equity,technology,ai,software_ai,,2020-09-23,510300,software_ai,challenger,0,1,1,1,0,0,1,high,ai,unknown,OUT_OF_DOMAIN,AI 软件/应用挑战者,2020-09-23
159915,创业板ETF,equity,broad,growth_broad,chinext,,2011-12-09,510300,growth_broad,challenger,0,1,1,1,0,0,1,high,growth_broad,unknown,OUT_OF_DOMAIN,宽基成长挑战者,2011-12-09
159992,创新药ETF,equity,healthcare,biotech,a_biotech,,2020-04-10,510300,healthcare,challenger,0,1,1,1,0,0,1,high,biotech,unknown,OUT_OF_DOMAIN,A股创新药挑战者,2020-04-10
510300,沪深300ETF,equity,broad,benchmark,hs300,,2018-01-02,510300,broad_beta,benchmark,0,0,1,0,0,1,0,high,benchmark,not_applicable,OUT_OF_DOMAIN,仅作相对强度基准；不进入 Core 竞争,2018-01-02
159770,机器人ETF,equity,software_ai,software_ai,,,2021-11-08,510300,software_ai,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2021-11-08
159852,软件ETF,equity,software_ai,software_ai,,,2021-02-09,510300,software_ai,,0,1,1,1,0,0,1,high,,,OUT_OF_DOMAIN,universe_v1 新增,2021-02-09
